idModule;IdCategory;SinceWhen
250;52;2014-08-10
251;148;2014-11-09
252;95;2012-07-13
253;67;2017-06-24
254;112;2011-03-17
255;26;2007-02-27
256;31;2009-04-29
257;140;2008-04-17
258;62;2018-10-19
259;37;2012-02-23
260;10;2020-11-14
261;44;2005-01-20
262;13;2009-12-02
263;77;2016-06-07
264;119;2012-06-25
265;99;2005-12-22
266;6;2008-03-20
267;146;2014-05-11
268;97;2015-12-21
269;47;2005-12-25
270;137;2017-11-28
271;149;2014-09-30
272;6;2016-09-06
273;127;2020-05-05
274;117;2022-09-05
275;102;2021-01-16
276;41;2012-04-14
277;119;2011-06-07
278;15;2009-03-01
279;7;2010-04-05
280;68;2015-08-22
281;22;2005-02-26
282;131;2008-10-24
283;39;2021-03-04
284;72;2020-08-05
285;84;2007-07-16
286;139;2017-11-07
287;56;2018-10-16
288;144;2012-03-15
289;22;2013-11-22
290;33;2016-12-04
291;37;2012-05-31
292;144;2022-12-03
293;124;2016-08-01
294;32;2022-01-13
295;67;2022-09-19
296;107;2020-05-17
297;56;2007-02-21
298;109;2009-05-09
299;3;2008-09-22
300;97;2021-01-19
301;117;2011-06-03
302;68;2022-02-03
303;4;2010-08-09
304;109;2017-04-16
305;73;2020-12-17
306;24;2006-07-13
307;108;2007-06-05
308;94;2021-09-10
309;74;2022-08-15
310;96;2006-09-26
311;17;2008-04-20
312;67;2006-07-23
313;104;2006-08-11
314;7;2006-04-26
315;82;2008-10-14
316;119;2016-10-05
317;109;2008-09-18
318;74;2009-09-14
319;67;2007-08-07
320;153;2007-08-25
321;82;2019-03-01
322;102;2008-04-03
323;25;2007-05-16
324;11;2017-01-03
325;131;2007-05-03
326;142;2006-06-16
327;139;2014-02-28
328;122;2022-08-10
329;133;2020-04-20
330;16;2005-10-18
331;96;2005-11-27
332;117;2016-02-18
333;90;2013-12-22
334;28;2021-07-30
335;59;2020-12-19
336;151;2010-04-18
337;13;2019-11-14
338;154;2022-05-22
339;60;2015-12-20
340;73;2012-05-16
341;20;2022-11-03
342;128;2020-11-19
343;118;2005-08-24
344;19;2013-11-14
345;29;2015-12-18
346;58;2005-10-24
347;67;2005-06-08
348;140;2020-10-21
349;119;2020-12-31
350;44;2020-08-01
351;127;2022-04-01
352;82;2022-02-28
353;69;2007-06-18
354;19;2017-05-24
355;12;2009-02-05
356;86;2018-11-20
357;21;2014-01-12
358;41;2009-04-05
359;149;2005-01-06
360;17;2019-08-08
361;78;2010-07-27
362;75;2007-08-16
363;123;2016-09-27
364;131;2013-09-18
365;25;2021-10-13
366;43;2010-12-23
367;27;2018-11-26
368;148;2014-03-19
369;82;2017-06-11
370;140;2015-10-02
371;13;2006-05-02
372;79;2019-08-22
373;152;2019-12-01
374;130;2019-06-14
375;42;2018-03-07
376;135;2009-04-07
377;44;2010-07-28
378;126;2018-04-30
379;57;2008-05-01
380;100;2012-09-06
381;58;2020-05-19
382;108;2008-02-07
383;153;2014-02-01
384;143;2021-11-14
385;100;2014-07-10
386;22;2014-11-14
387;126;2008-05-04
388;115;2005-11-29
389;99;2012-08-25
390;62;2017-01-07
391;67;2011-07-29
392;27;2014-08-19
393;12;2011-03-02
394;144;2017-03-28
395;91;2011-02-15
396;76;2017-10-23
397;71;2014-03-14
398;141;2011-04-16
399;2;2018-11-25
400;60;2012-05-28
401;107;2011-07-19
402;60;2007-09-05
403;24;2006-09-26
404;142;2020-02-12
405;95;2014-03-02
406;54;2021-03-05
407;152;2016-02-05
408;56;2018-03-11
409;154;2005-04-15
410;29;2006-05-22
411;138;2019-11-08
412;21;2014-09-20
413;123;2007-10-02
414;113;2020-03-10
415;148;2008-10-13
416;49;2017-02-11
417;84;2019-05-07
418;13;2015-09-09
419;18;2022-09-17
420;148;2017-05-02
421;137;2016-12-31
422;36;2009-07-30
423;136;2011-08-21
424;12;2006-05-09
425;138;2007-05-24
426;109;2006-03-19
427;65;2015-12-28
428;64;2020-07-10
429;8;2013-05-08
430;59;2005-11-22
431;144;2018-01-25
432;101;2005-08-30
433;84;2010-03-19
434;27;2020-02-28
435;4;2017-11-05
436;20;2010-07-02
437;87;2014-08-20
438;141;2013-02-06
439;82;2013-05-26
440;111;2013-10-19
441;26;2019-11-30
442;108;2017-09-25
443;127;2016-06-15
444;80;2021-07-10
445;11;2010-01-07
446;17;2009-07-16
447;74;2014-09-10
448;128;2005-07-17
449;32;2017-08-12
450;31;2013-05-10
451;8;2008-08-11
452;42;2009-06-11
453;49;2015-08-22
454;13;2018-12-30
455;136;2007-09-08
456;69;2007-07-27
457;67;2018-08-21
458;26;2015-03-12
459;20;2010-04-20
460;79;2006-12-01
461;120;2009-01-18
462;28;2005-09-08
463;30;2014-08-21
464;62;2015-01-14
465;107;2018-12-01
466;77;2011-12-06
467;75;2021-07-13
468;42;2009-08-27
469;115;2014-09-23
470;124;2007-04-08
471;108;2016-11-13
472;94;2019-08-23
473;133;2015-11-11
474;125;2012-01-26
475;82;2015-05-19
476;27;2014-08-24
477;45;2013-01-28
478;17;2015-01-06
479;73;2007-06-19
480;54;2022-12-10
481;137;2018-04-04
482;13;2012-07-04
483;90;2006-10-21
484;104;2009-12-23
485;93;2011-03-22
486;143;2015-07-02
487;117;2017-08-11
488;141;2014-10-11
489;85;2008-04-22
490;143;2013-02-11
491;44;2007-02-05
492;109;2017-12-12
493;84;2016-05-06
494;67;2005-11-29
495;16;2007-02-13
496;78;2014-02-15
497;112;2012-06-05
498;116;2016-09-30
499;38;2010-01-22
500;85;2022-02-19
501;87;2012-10-07
502;14;2005-11-23
503;131;2021-11-21
504;109;2011-10-21
505;94;2013-05-14
506;149;2006-06-07
507;6;2010-04-26
508;131;2016-06-02
509;113;2017-05-14
510;154;2009-07-14
511;106;2006-12-01
512;47;2015-10-28
513;114;2021-02-10
514;99;2012-07-08
515;50;2012-10-21
516;56;2010-09-22
517;150;2014-03-03
518;94;2008-03-02
519;5;2016-08-16
520;151;2008-09-18
521;143;2019-05-24
522;46;2016-07-27
523;152;2010-12-19
524;146;2019-01-08
525;30;2016-03-19
526;47;2007-04-11
527;121;2021-12-21
528;14;2020-07-09
529;68;2015-11-01
530;68;2021-07-16
531;57;2014-06-18
532;90;2005-11-18
533;151;2015-04-02
534;25;2020-02-09
535;129;2010-05-29
536;122;2008-01-14
537;93;2020-01-20
538;96;2006-12-12
539;106;2012-07-30
540;9;2014-10-03
541;140;2022-10-08
542;115;2012-02-06
543;11;2006-08-13
544;28;2006-11-12
545;123;2009-07-03
546;64;2019-08-09
547;7;2012-01-29
548;14;2021-08-23
549;7;2009-06-16
550;76;2019-11-30
551;81;2005-10-19
552;121;2008-05-03
553;154;2011-02-03
554;109;2014-05-08
555;37;2018-06-28
556;16;2006-01-24
557;120;2007-09-08
558;71;2022-09-20
559;89;2013-07-30
560;63;2011-01-14
561;6;2006-01-07
562;44;2010-02-05
563;123;2014-06-06
564;96;2009-01-30
565;152;2016-05-03
566;108;2006-08-19
567;74;2013-09-28
568;16;2022-06-03
569;140;2010-08-23
570;154;2008-03-03
571;48;2010-04-15
572;146;2022-01-30
573;116;2006-12-30
574;146;2005-06-28
575;53;2020-09-16
576;54;2007-10-03
577;54;2009-02-07
578;147;2014-09-30
579;64;2009-09-25
580;151;2016-03-27
581;45;2013-11-17
582;154;2007-11-14
583;126;2012-08-22
584;135;2010-12-14
585;104;2014-04-02
586;55;2012-07-23
587;117;2015-12-01
588;19;2011-05-09
589;6;2013-11-09
590;5;2012-02-22
591;144;2018-01-13
592;122;2016-01-30
593;37;2016-08-08
594;83;2006-09-19
595;94;2008-02-21
596;139;2007-08-18
597;11;2011-12-28
598;69;2017-08-30
599;47;2019-08-23
600;151;2019-05-07
601;141;2020-10-23
602;102;2014-03-21
603;55;2019-03-06
604;33;2014-10-17
605;20;2017-05-05
606;30;2012-12-19
607;77;2015-07-18
608;102;2008-02-23
609;148;2020-12-14
610;33;2005-01-09
611;153;2008-11-10
612;23;2011-11-14
613;112;2021-04-03
614;6;2021-04-18
615;3;2015-01-30
616;61;2020-06-27
617;46;2019-07-10
618;122;2011-05-18
619;52;2020-05-08
620;48;2006-03-17
621;75;2020-12-13
622;139;2019-08-01
623;4;2005-10-20
624;35;2015-01-09
625;47;2009-07-15
626;15;2007-04-22
627;88;2012-07-27
628;146;2011-08-01
629;111;2011-12-09
630;134;2015-01-09
631;78;2011-08-15
632;140;2021-06-16
633;100;2009-09-16
634;143;2009-10-02
635;134;2012-11-02
636;19;2021-05-10
637;99;2015-11-13
638;4;2007-07-03
639;72;2015-04-05
640;51;2008-03-25
641;18;2015-02-23
642;23;2009-02-17
643;148;2019-01-29
644;28;2020-06-03
645;80;2005-07-15
646;59;2013-12-10
647;130;2016-10-04
648;120;2018-07-12
649;105;2022-12-06
650;15;2019-02-05
651;108;2014-08-06
652;22;2015-09-12
653;57;2009-12-10
654;28;2007-05-09
655;146;2005-04-07
656;130;2020-07-31
657;78;2022-07-25
658;80;2012-05-10
659;1;2022-10-24
660;38;2005-10-19
661;108;2010-04-10
662;34;2020-11-14
663;107;2007-10-06
664;54;2020-10-20
665;28;2013-01-08
666;45;2007-05-22
667;66;2011-02-19
668;80;2006-03-30
669;137;2018-07-13
670;24;2018-05-26
671;146;2016-06-21
672;11;2009-09-23
673;18;2006-01-12
674;55;2021-12-06
675;152;2005-11-18
676;37;2012-09-19
677;89;2012-04-17
678;100;2020-08-03
679;141;2009-04-05
680;139;2013-10-15
681;107;2014-04-28
682;94;2011-10-23
683;111;2007-06-21
684;90;2013-05-01
685;101;2018-12-21
686;65;2006-11-06
687;78;2018-12-01
688;23;2017-11-03
689;24;2018-10-09
690;105;2012-06-10
691;87;2009-03-02
692;28;2010-10-28
693;148;2010-07-16
694;85;2009-10-21
695;41;2017-02-14
696;122;2020-06-11
697;114;2017-07-12
698;61;2017-09-01
699;37;2005-05-24
700;7;2022-04-14
701;142;2019-04-21
702;95;2009-08-22
703;1;2019-02-05
704;133;2012-01-24
705;141;2009-05-13
706;144;2016-04-28
707;72;2021-01-25
708;65;2021-05-30
709;32;2013-12-27
710;70;2008-05-21
711;84;2005-01-18
712;11;2008-02-24
713;45;2021-10-20
714;13;2021-10-11
715;76;2007-01-06
716;144;2007-01-13
717;100;2008-10-05
718;89;2020-01-27
719;79;2009-09-07
720;82;2017-03-11
721;2;2019-01-06
722;59;2019-07-12
723;3;2006-06-14
724;120;2014-09-10
725;68;2019-06-25
726;33;2016-02-16
727;39;2009-01-22
728;48;2019-09-24
729;7;2020-05-30
730;7;2014-06-28
731;83;2016-10-17
732;6;2022-02-02
733;103;2011-11-15
734;42;2020-01-06
735;128;2015-04-21
736;3;2005-10-09
737;50;2005-07-16
738;94;2009-07-28
739;13;2012-12-13
740;56;2021-05-21
741;50;2011-10-26
742;100;2006-02-01
743;61;2006-03-16
744;120;2011-10-30
745;91;2011-07-21
746;61;2017-04-07
747;129;2020-04-18
748;65;2010-01-23
749;149;2009-11-23
750;139;2019-12-03
751;67;2019-04-20
752;35;2014-12-11
753;40;2014-03-01
754;63;2009-02-02
755;111;2020-06-10
756;96;2021-06-01
757;80;2016-02-22
758;142;2014-11-04
759;62;2022-07-14
760;150;2017-04-01
761;20;2006-11-11
762;53;2020-10-28
763;80;2005-08-31
764;129;2022-10-21
765;58;2011-04-15
766;98;2016-06-14
767;63;2015-04-13
768;122;2011-11-26
769;30;2021-05-08
770;152;2012-06-03
771;86;2022-01-05
772;67;2006-02-14
773;119;2012-10-23
774;131;2007-10-07
775;43;2015-07-19
776;74;2016-06-08
777;66;2018-10-26
778;88;2022-09-02
779;124;2015-10-29
780;33;2022-09-25
781;49;2019-10-18
782;103;2008-10-13
783;142;2015-08-12
784;140;2005-12-30
785;146;2012-02-24
786;63;2013-04-26
787;13;2015-10-01
788;40;2021-08-04
789;13;2021-07-18
790;98;2019-01-10
791;82;2022-08-08
792;114;2014-04-19
793;130;2015-01-18
794;3;2021-07-24
795;104;2011-05-17
796;143;2021-02-15
797;123;2016-03-05
798;15;2005-09-18
799;86;2008-01-24
800;58;2008-08-06
801;69;2017-08-27
802;125;2022-04-04
803;30;2012-01-01
804;124;2012-04-22
805;142;2019-10-12
806;151;2019-11-02
807;25;2009-09-16
808;129;2022-11-12
809;16;2014-01-30
810;124;2021-08-19
811;82;2019-09-08
812;54;2017-05-29
813;89;2020-06-10
814;13;2015-05-15
815;47;2021-09-13
816;17;2021-10-02
817;14;2021-12-22
818;101;2017-03-11
819;153;2016-11-05
820;131;2015-08-25
821;145;2021-02-16
822;124;2014-01-15
823;154;2021-01-21
824;51;2012-12-26
825;153;2020-01-31
826;106;2014-01-12
827;63;2020-12-18
828;10;2016-04-22
829;36;2020-10-17
830;24;2018-08-23
831;93;2011-07-20
832;81;2006-03-13
833;118;2006-09-30
834;96;2014-07-02
835;37;2021-09-26
836;59;2018-09-11
837;6;2022-01-06
838;51;2005-09-12
839;89;2007-04-25
840;66;2021-03-24
841;141;2013-06-03
842;48;2009-06-01
843;134;2011-11-09
844;56;2017-02-24
845;56;2011-04-10
846;28;2011-02-21
847;58;2012-08-25
848;25;2011-05-31
849;116;2015-06-12
850;124;2016-02-04
851;33;2008-04-04
852;135;2013-10-17
853;97;2022-07-04
854;97;2013-12-27
855;25;2020-09-30
856;44;2007-03-07
857;62;2018-08-09
858;51;2011-07-14
859;32;2006-05-22
860;78;2007-09-23
861;75;2005-03-11
862;97;2013-09-25
863;62;2008-04-23
864;149;2013-07-06
865;81;2015-07-05
866;64;2009-12-24
867;111;2016-10-12
868;133;2006-05-09
869;53;2005-10-29
870;58;2014-11-07
871;73;2011-11-19
872;146;2021-02-11
873;60;2019-10-08
874;25;2019-06-20
875;25;2005-02-10
876;34;2010-12-05
877;84;2018-03-25
878;92;2009-04-08
879;145;2020-05-29
880;35;2016-02-29
881;42;2005-01-16
882;148;2018-09-20
883;77;2011-06-17
884;149;2021-11-16
885;112;2020-11-07
886;25;2015-10-12
887;86;2017-07-13
888;150;2010-10-18
889;97;2006-10-30
890;130;2009-08-13
891;13;2007-10-22
892;85;2010-08-12
893;143;2018-11-10
894;118;2018-12-13
895;89;2007-06-14
896;66;2007-05-06
897;86;2013-01-10
898;132;2011-07-05
899;148;2013-07-10
900;116;2011-04-18
901;110;2007-08-20
902;65;2010-07-15
903;56;2013-08-16
904;153;2020-02-11
905;74;2011-08-09
906;21;2014-11-19
907;93;2011-04-15
908;131;2018-09-17
909;32;2011-06-06
910;89;2008-11-16
911;3;2018-10-24
912;47;2019-08-21
913;5;2021-03-02
914;58;2019-10-02
915;138;2009-11-08
916;40;2021-10-16
917;37;2005-08-07
918;89;2019-02-03
919;79;2016-01-22
920;28;2016-10-02
921;81;2006-12-14
922;14;2015-05-13
923;49;2020-07-26
924;88;2021-01-02
925;38;2016-12-28
926;85;2005-07-18
927;7;2018-07-28
928;66;2011-04-11
929;50;2007-10-29
930;107;2008-02-08
931;112;2007-06-01
932;99;2008-05-30
933;9;2008-04-11
934;128;2008-05-06
935;92;2016-02-10
936;40;2008-05-15
937;108;2019-03-22
938;139;2020-05-09
939;131;2014-07-01
940;47;2012-01-08
941;31;2007-11-04
942;80;2006-01-19
943;46;2008-07-24
944;9;2005-12-15
945;30;2005-12-01
946;59;2018-10-10
947;84;2007-03-05
948;84;2022-04-30
949;82;2007-02-20
950;68;2008-12-26
951;49;2016-08-24
952;126;2017-09-05
953;44;2008-11-15
954;112;2020-08-08
955;43;2006-05-09
956;48;2021-09-25
957;16;2016-04-07
958;113;2022-04-18
959;46;2006-07-21
960;80;2019-03-17
961;142;2007-08-05
962;81;2010-12-20
963;153;2007-03-02
964;33;2007-01-21
965;15;2011-10-26
966;79;2008-04-06
967;82;2015-02-05
968;133;2018-11-10
969;85;2007-02-26
970;27;2016-12-06
971;148;2020-10-13
972;22;2008-01-21
973;124;2006-11-10
974;100;2009-03-03
975;36;2008-01-03
976;112;2009-01-11
977;8;2022-12-29
978;60;2018-04-16
979;2;2018-11-05
980;20;2005-12-22
981;71;2022-05-24
982;61;2007-04-12
983;112;2006-06-19
984;71;2017-09-20
985;152;2012-05-30
986;133;2009-02-16
987;111;2008-01-22
988;144;2017-02-07
989;142;2006-03-19
990;44;2017-06-02
991;35;2010-03-24
992;98;2022-05-31
993;108;2006-09-23
994;122;2011-11-29
995;69;2014-05-24
996;33;2021-02-17
997;65;2018-07-29
998;90;2018-03-26
999;18;2017-05-13
1000;4;2017-05-15
1001;128;2011-12-10
1002;56;2021-09-25
1003;142;2016-05-04
1004;35;2014-12-27
1005;89;2016-06-27
1006;62;2008-10-14
1007;40;2010-05-08
1008;46;2014-09-19
1009;151;2011-06-19
1010;98;2019-01-10
1011;40;2011-10-05
1012;19;2010-05-15
1013;55;2006-11-06
1014;18;2007-09-07
1015;106;2019-02-09
1016;28;2018-03-20
1017;108;2013-02-02
1018;131;2019-03-28
1019;15;2015-03-25
1020;30;2010-01-25
1021;143;2005-09-24
1022;134;2007-04-10
1023;22;2005-01-11
1024;11;2021-05-10
1025;101;2014-06-24
1026;146;2016-03-04
1027;59;2021-04-10
1028;122;2011-08-02
1029;138;2008-05-11
1030;39;2008-05-10
1031;132;2019-03-20
1032;14;2015-03-28
1033;122;2012-07-16
1034;49;2014-07-18
1035;140;2013-05-02
1036;25;2018-03-18
1037;12;2013-02-05
1038;67;2020-03-21
1039;121;2007-11-10
1040;46;2014-11-06
1041;42;2016-07-16
1042;80;2017-01-04
1043;68;2015-02-02
1044;146;2018-06-11
1045;145;2008-11-22
1046;72;2018-06-20
1047;130;2020-08-14
1048;46;2009-04-11
1049;132;2007-09-06
1050;22;2008-01-26
1051;138;2015-04-05
1052;73;2015-09-05
1053;29;2015-12-29
1054;147;2016-12-10
1055;31;2008-10-13
1056;9;2007-07-03
1057;44;2005-12-01
1058;102;2017-06-15
1059;85;2015-09-04
1060;105;2009-10-01
1061;38;2005-10-01
1062;143;2010-11-26
1063;145;2016-04-24
1064;91;2006-02-28
1065;18;2022-08-15
1066;138;2013-10-09
1067;40;2020-09-16
1068;124;2010-12-11
1069;47;2017-11-15
1070;103;2007-08-08
1071;60;2011-04-15
1072;127;2017-01-30
1073;85;2009-11-28
1074;121;2011-12-01
1075;6;2008-02-20
1076;137;2015-04-05
1077;102;2009-04-09
1078;58;2020-11-02
1079;98;2007-07-26
1080;127;2015-05-17
1081;128;2020-08-19
1082;113;2012-09-09
1083;96;2009-08-31
1084;122;2007-03-24
1085;116;2008-07-04
1086;6;2020-08-20
1087;18;2017-07-23
1088;132;2005-12-25
1089;22;2018-02-11
1090;58;2007-09-16
1091;110;2011-11-20
1092;43;2020-01-19
1093;104;2015-08-27
1094;120;2016-05-09
1095;87;2007-12-23
1096;134;2014-01-19
1097;25;2008-12-03
1098;15;2015-11-17
1099;149;2005-11-12
1100;75;2021-07-04
1101;145;2015-04-03
1102;79;2015-05-10
1103;50;2006-02-20
1104;48;2013-03-30
1105;86;2020-09-29
1106;14;2021-10-09
1107;81;2014-06-13
1108;129;2009-10-26
1109;94;2017-02-27
1110;36;2005-11-17
1111;144;2018-08-17
1112;140;2020-01-07
1113;135;2019-08-27
1114;121;2017-11-30
1115;64;2022-05-09
1116;116;2012-07-23
1117;141;2007-12-30
1118;88;2013-03-01
1119;112;2010-05-29
1120;143;2005-06-12
1121;46;2010-08-12
1122;67;2022-04-15
1123;25;2021-10-15
1124;110;2012-10-27
1125;58;2019-09-08
1126;90;2015-03-09
1127;36;2016-12-21
1128;132;2005-04-11
1129;120;2015-01-15
1130;10;2014-01-22
1131;126;2020-07-12
1132;99;2017-12-25
1133;7;2010-06-05
1134;47;2016-05-22
1135;33;2005-09-09
1136;6;2016-09-07
1137;35;2019-10-24
1138;108;2009-11-07
1139;150;2009-03-26
1140;131;2022-08-05
1141;68;2011-07-20
1142;47;2022-01-11
1143;62;2019-12-15
1144;150;2018-12-07
1145;62;2007-09-14
1146;30;2020-08-07
1147;101;2019-10-13
1148;76;2010-11-29
1149;71;2021-03-18
1150;32;2022-03-28
1151;106;2020-04-03
1152;82;2008-02-07
1153;61;2022-02-02
1154;5;2008-08-08
1155;90;2012-01-26
1156;54;2019-09-29
1157;141;2008-10-05
1158;97;2017-05-05
1159;83;2019-01-11
1160;80;2009-07-13
1161;42;2022-07-19
1162;129;2019-10-08
1163;98;2018-12-08
1164;62;2016-02-15
1165;8;2007-10-03
1166;53;2006-05-19
1167;77;2020-01-08
1168;9;2019-03-01
1169;51;2014-11-03
1170;37;2021-09-12
1171;75;2005-10-13
1172;138;2019-09-26
1173;51;2021-11-25
1174;31;2021-04-07
1175;144;2020-06-22
1176;100;2014-09-26
1177;90;2021-11-01
1178;136;2007-05-20
1179;128;2018-06-03
1180;141;2005-03-14
1181;150;2022-08-16
1182;82;2012-07-21
1183;55;2009-10-24
1184;131;2010-01-26
1185;79;2016-06-09
1186;57;2008-05-16
1187;85;2019-11-09
1188;15;2010-12-27
1189;104;2013-02-09
1190;103;2014-04-08
1191;152;2009-05-02
1192;111;2010-06-21
1193;98;2006-03-18
1194;100;2009-12-12
1195;41;2013-01-04
1196;117;2017-09-07
1197;14;2015-12-04
1198;118;2008-02-10
1199;71;2005-08-17
1200;49;2018-10-09
1201;73;2017-12-30
1202;125;2017-10-15
1203;17;2019-07-19
1204;73;2005-12-29
1205;139;2011-03-22
1206;20;2013-01-05
1207;47;2008-08-18
1208;136;2020-11-17
1209;72;2012-09-14
1210;119;2022-07-18
1211;5;2020-03-24
1212;127;2012-05-01
1213;78;2012-11-15
1214;133;2022-12-01
1215;11;2022-02-11
1216;124;2015-08-23
1217;52;2020-02-10
1218;49;2013-06-20
1219;74;2009-04-14
1220;65;2005-07-24
1221;43;2018-07-24
1222;52;2018-06-23
1223;72;2012-03-15
1224;131;2005-12-24
1225;86;2012-04-16
1226;111;2015-05-22
1227;88;2021-03-24
1228;46;2021-03-14
1229;143;2020-03-04
1230;131;2019-10-08
1231;1;2009-08-05
1232;118;2016-07-04
1233;83;2015-04-14
1234;41;2014-05-31
1235;57;2019-04-30
1236;78;2014-07-01
1237;69;2022-08-12
1238;118;2016-01-19
1239;47;2011-08-28
1240;40;2013-03-13
1241;74;2013-11-06
1242;99;2006-08-01
1243;112;2022-06-08
1244;98;2014-01-31
1245;70;2006-03-13
1246;144;2006-02-15
1247;107;2017-06-11
