GoogleCalendarID;EventId;idmodule;idlecturer;EventName;Eventdetails;EventStartsOn;EventEndsOn
1;16;2738;19;ΣΤΑΤΙΚΗ I;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-04-06;2023-06-14
1;17;2102;18;ΓΕΝΙΚΗ ΛΟΓΙΣΤΙΚΗ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-08-02;2023-09-25
1;18;2206;28;ΤΕΧΝΙΚΗ ΓΕΩΛΟΓΙΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-05-17;2023-06-18
1;19;2257;14;ΔΙΑΤΡΟΦΗ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-05-12;2023-05-24
1;20;3656;23;ΝΟΣΗΛΕΥΤΙΚΕΣ ΘΕΩΡΙΕΣ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-06-13;2023-11-24
1;21;3675;1;ΞΕΝΗ ΓΛΩΣΣΑ - ΟΡΟΛΟΓΙΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-10-10;2023-12-28
1;22;3714;7;ΕΜΒΡΥΟΛΟΓΙΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-03-15;2023-07-08
1;23;3760;8;ΒΙΟΦΥΣΙΚΗ - ΑΚΤΙΝΟΛΟΓΙΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-06-22;2023-08-09
1;24;3792;10;ΨΗΦΙΑΚΗ ΠΑΙΔΑΓΩΓΙΚΗ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2022-05-04;2022-08-06
1;25;3835;25;ΛΙΜΕΝΙΚΑ ΕΡΓΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-09-17;2023-11-19
1;26;3962;15;ΚΙΝΗΣΙΟΛΟΓΙΑ ΙΙ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-08-01;2023-09-04
1;27;4093;19;ΘΕΜΑΤΑ ΦΟΡΟΛΟΓΙΑΣ Ι;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-04-12;2023-08-14
1;28;4129;13;ΠΑΓΚΟΣΜΙΑ ΛΟΓΟΤΕΧΝΙΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-05-30;2023-08-27
1;29;4148;11;ΙΣΤΟΡΙΑ ΤΕΧΝΗΣ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-04-12;2023-05-29
1;30;4173;25;ΒΙΟΛΟΓΙΑ - ΜΟΡΙΑΚΗ ΒΙΟΛΟΓΙΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-02-11;2023-06-14
1;31;7308;25;ΦΑΡΜΑΚΟΛΟΓΙΑ Ι;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2023-07-18;2023-09-22
2;32;7893;27;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2015-10-11;2020-12-23
2;33;1721;7;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2007-10-14;2009-11-10
2;34;8710;24;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2010-06-13;2016-11-24
2;35;3092;1;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-08-08;2015-12-30
2;36;530;2;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2013-12-26;2007-11-18
2;37;1859;27;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2005-03-23;2009-01-28
2;38;322;29;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2019-10-17;2010-05-21
2;39;5195;9;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2019-06-28;2016-08-29
2;40;6561;25;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-08-29;2005-02-18
2;41;6891;23;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-07-08;2015-07-12
2;42;7921;15;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2020-08-26;2019-07-13
2;43;6568;26;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-10-21;2014-01-15
2;44;4327;7;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2008-07-13;2014-03-02
2;45;295;18;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2016-08-15;2017-12-10
2;46;3758;18;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2010-08-03;2018-05-02
2;47;2007;19;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-06-23;2011-11-12
2;48;8624;22;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2019-08-04;2006-02-14
2;49;4205;17;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2007-07-05;2007-07-02
2;50;5994;4;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2007-02-12;2016-04-01
2;51;2129;26;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2017-10-13;2022-01-06
2;52;4438;25;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2010-07-29;2005-03-21
2;53;9776;14;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-12-10;2008-08-06
2;54;514;22;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2008-03-24;2022-10-19
2;55;5378;21;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-10-05;2017-10-17
2;56;4277;5;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-08-14;2022-10-13
2;57;5753;17;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2019-06-01;2007-05-02
2;58;901;8;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-10-02;2011-06-20
3;59;7701;14;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2013-12-09;2020-04-11
3;60;2771;9;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2008-01-06;2005-03-17
3;61;462;5;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-05-14;2010-05-21
3;62;4351;9;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2010-04-19;2018-08-13
3;63;5915;23;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-06-22;2018-06-15
3;64;6575;20;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2022-07-24;2014-08-22
3;65;4989;8;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2018-10-06;2013-07-17
3;66;1336;21;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2016-01-30;2021-11-17
3;67;3355;26;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2007-04-23;2013-03-13
3;68;7555;28;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2011-05-11;2017-11-13
3;69;7191;4;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2020-04-06;2006-10-19
3;70;1771;8;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2005-03-16;2017-03-22
3;71;1682;16;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2019-06-09;2020-03-20
3;72;3241;18;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2010-11-23;2015-01-07
3;73;5103;20;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2019-11-02;2014-11-26
3;74;2872;1;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2017-12-18;2017-03-09
3;75;1925;18;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2017-03-21;2019-06-24
3;76;9424;14;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2011-05-19;2016-06-24
3;77;2508;6;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2013-10-30;2009-04-25
3;78;5726;22;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2007-09-24;2011-07-19
3;79;7447;12;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-11-30;2011-03-02
3;80;1180;3;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2011-07-25;2015-08-25
3;81;6072;2;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-08-26;2013-01-06
3;82;5736;4;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-01-17;2020-03-22
3;83;8381;1;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2008-11-20;2005-11-08
3;84;5676;2;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2014-07-07;2022-01-23
3;85;1854;21;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2005-11-06;2008-04-07
3;86;3321;25;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2020-06-06;2017-03-15
3;87;3721;21;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2019-02-04;2016-02-15
3;88;2741;17;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2008-04-09;2021-04-04
3;89;8625;23;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2008-12-22;2008-07-14
4;90;4442;3;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2014-11-04;2012-01-11
4;91;2292;12;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2020-06-18;2018-09-07
4;92;4786;13;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2005-03-05;2021-03-18
4;93;3843;9;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2017-03-25;2018-12-18
4;94;3096;16;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2010-06-13;2005-03-05
4;95;6353;6;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2006-08-04;2011-09-23
4;96;5788;29;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2012-09-28;2017-08-07
4;97;7731;9;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2022-12-02;2014-08-25
4;98;7077;18;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2008-03-14;2020-04-24
4;99;3579;24;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2020-01-07;2022-04-03
4;100;887;6;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2014-01-21;2018-05-01
4;101;2203;11;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2017-06-12;2016-09-22
4;102;4220;10;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-06-13;2006-01-23
4;103;9721;20;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2007-11-21;2011-11-19
4;104;5037;4;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2018-09-27;2007-11-13
4;105;7974;12;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2019-09-15;2016-07-01
4;106;4922;13;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2019-02-22;2008-08-06
4;107;1696;1;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2010-02-09;2011-08-07
4;108;5166;8;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2007-05-21;2017-08-11
4;109;245;23;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2016-01-06;2009-09-06
4;110;1677;20;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2018-11-16;2011-03-22
4;111;7592;10;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2010-03-23;2022-10-13
4;112;5667;10;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2008-03-07;2021-10-04
4;113;7856;22;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2005-06-27;2017-10-11
4;114;480;21;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2018-04-13;2009-05-19
4;115;1475;9;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2015-02-16;2013-02-15
4;116;6567;9;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-06-11;2014-05-20
4;117;6544;16;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2007-12-12;2015-03-24
4;118;8392;30;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2013-12-23;2021-07-16
4;119;4330;25;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2006-05-08;2015-06-11
5;120;1376;14;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2008-09-24;2021-06-16
5;121;6340;16;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2012-11-05;2018-03-29
5;122;6621;13;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-10-15;2016-03-18
5;123;2322;12;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2017-07-06;2012-01-08
5;124;3252;9;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2020-08-01;2012-06-01
5;125;502;30;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-01-06;2007-03-18
5;126;2451;16;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2013-08-29;2007-01-18
5;127;1993;21;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2017-12-30;2008-08-05
5;128;4766;16;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2013-08-26;2017-05-30
5;129;8970;25;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-03-02;2012-01-24
5;130;735;11;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2020-09-02;2007-01-13
5;131;4415;17;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2015-09-25;2009-03-26
5;132;6796;3;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2011-06-14;2008-07-15
5;133;2023;23;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-09-11;2020-03-14
5;134;6269;30;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-03-24;2006-04-16
5;135;5873;23;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2007-09-20;2013-11-16
5;136;1888;30;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2010-10-01;2019-08-03
5;137;2982;16;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-04-15;2007-02-23
5;138;4860;28;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2020-06-01;2010-04-29
5;139;3564;17;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2015-12-13;2011-03-08
5;140;8699;28;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2018-11-26;2009-01-28
5;141;5116;3;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2018-01-15;2017-04-20
5;142;2629;9;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2006-08-09;2019-02-26
5;143;278;5;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2017-07-03;2007-08-11
5;144;5390;4;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2013-04-26;2012-04-26
5;145;3794;17;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2014-03-03;2005-04-10
5;146;1834;27;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2007-06-06;2019-04-12
5;147;7026;2;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2016-12-23;2006-02-16
5;148;7656;23;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2019-09-30;2005-02-07
5;149;4411;28;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-12-16;2018-07-16
5;150;2337;30;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2015-10-20;2015-06-26
5;151;6651;20;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2020-05-15;2018-02-21
5;152;6829;5;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2011-01-09;2014-03-08
5;153;9606;15;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2008-08-08;2015-10-01
5;154;3151;27;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2020-05-22;2019-10-23
5;155;6266;27;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-08-23;2008-05-09
5;156;4228;25;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2007-04-13;2009-09-20
5;157;5583;1;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2016-08-20;2021-05-17
5;158;8042;23;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2018-10-29;2006-09-13
5;159;7054;20;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2014-11-22;2019-04-03
5;160;8953;8;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2018-05-09;2020-01-27
5;161;4529;15;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-12-02;2018-12-15
5;162;5436;2;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2018-03-28;2010-02-21
5;163;4960;26;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2013-11-09;2017-06-26
5;164;7485;3;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2018-06-28;2017-10-06
5;165;6771;21;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2020-07-17;2009-02-25
5;166;2479;4;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2016-12-25;2006-04-07
5;167;1713;27;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2010-03-31;2020-02-23
5;168;9331;30;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2016-03-24;2006-02-16
5;169;4185;10;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2015-01-26;2017-01-14
5;170;3511;17;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2016-05-22;2007-02-22
5;171;9511;28;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2010-12-28;2010-11-07
5;172;9851;2;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2022-02-09;2008-12-01
5;173;9425;22;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2011-12-20;2010-11-12
5;174;9472;22;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-06-02;2012-05-01
5;175;4929;11;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2005-12-22;2018-07-31
5;176;1492;11;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2017-04-11;2015-04-23
5;177;9148;5;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2009-11-18;2020-08-07
5;178;6658;21;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2021-10-31;2007-06-25
5;179;8073;10;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2017-01-22;2016-03-16
5;180;6046;19;ΜΑΘΗΜΑ;"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do""";2013-06-25;2014-06-01
